instruction;input;output;prediction
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre une équation différentielle ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Comment résoudre une équation différentielle ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'une dérivée partielle ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Qu'est-ce qu'une dérivée partielle ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer une intégrale définie ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Comment calculer une intégrale définie ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer la dérivée d'une fonction polynomiale ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer la dérivée d'une fonction polynomiale ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'un nombre complexe ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Qu'est-ce qu'un nombre complexe ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre une équation différentielle ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Comment résoudre une équation différentielle ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'une série mathématique ?;"{""subject"": ""maths"", ""topic"": ""series""}";"""Qu'est-ce qu'une série mathématique ? ->: {""subject"": ""maths"", ""topic"": ""series""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre une équation avec des dérivées partielles ?;"{""subject"": ""maths"", ""topic"": ""partial-derivatives""}";"""Comment résoudre une équation avec des dérivées partielles ? ->: {""subject"": ""maths"", ""topic"": ""partial-derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer une dérivée partielle ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer une dérivée partielle ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'un nombre complexe ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Qu'est-ce qu'un nombre complexe ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre une équation différentielle ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Comment résoudre une équation différentielle ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Quelles sont les propriétés des nombres complexes ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Quelles sont les propriétés des nombres complexes ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer la dérivée d'une fonction exponentielle ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer la dérivée d'une fonction exponentielle ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer la dérivée d'une fonction polynomiale ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer la dérivée d'une fonction polynomiale ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'un nombre complexe ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Qu'est-ce qu'un nombre complexe ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre une équation différentielle du premier ordre ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Comment résoudre une équation différentielle du premier ordre ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Quelles sont les règles de dérivation pour les fonctions exponentielles ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Quelles sont les règles de dérivation pour les fonctions exponentielles ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer la dérivée d'une fonction trigonométrique ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer la dérivée d'une fonction trigonométrique ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Est-ce que tu peux m'expliquer les nombres complexes ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Est-ce que tu peux m'expliquer les nombres complexes ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer les dérivées d'une fonction ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer les dérivées d'une fonction ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Peux-tu me donner des exemples d'utilisation des différentielles en mathématiques ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Peux-tu me donner des exemples d'utilisation des différentielles en mathématiques ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre une équation quadratique ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Comment résoudre une équation quadratique ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Quelles sont les règles pour calculer les dérivées des fonctions trigonométriques ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Quelles sont les règles pour calculer les dérivées des fonctions trigonométriques ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer la dérivée d'une fonction composée ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer la dérivée d'une fonction composée ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'un nombre complexe ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Qu'est-ce qu'un nombre complexe ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer une intégrale définie ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Comment calculer une intégrale définie ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Quelles sont les propriétés des nombres complexes ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Quelles sont les propriétés des nombres complexes ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment trouver la dérivée d'une fonction polynomiale ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment trouver la dérivée d'une fonction polynomiale ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Salut, j'ai du mal avec les nombres complexes. Pouvez-vous m'aider à comprendre comment effectuer des opérations avec eux ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Salut, j'ai du mal avec les nombres complexes. Pouvez-vous m'aider à comprendre comment effectuer des opérations avec eux ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Bonjour, j'ai besoin d'aide pour comprendre les dérivées. Est-ce que vous pouvez m'expliquer comment les calculer et à quoi elles servent ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Bonjour, j'ai besoin d'aide pour comprendre les dérivées. Est-ce que vous pouvez m'expliquer comment les calculer et à quoi elles servent ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Salut, je ne comprends pas bien les différentielles. Pouvez-vous m'expliquer ce que c'est et comment les utiliser en mathématiques ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Salut, je ne comprends pas bien les différentielles. Pouvez-vous m'expliquer ce que c'est et comment les utiliser en mathématiques ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Bonjour, j'ai du mal avec les nombres complexes et les dérivées. Pouvez-vous m'aider à comprendre comment les utiliser ensemble dans un problème mathématique ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Bonjour, j'ai du mal avec les nombres complexes et les dérivées. Pouvez-vous m'aider à comprendre comment les utiliser ensemble dans un problème mathématique ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Salut, je suis perdu avec les différentielles et les dérivées. Pouvez-vous m'expliquer comment les utiliser dans un contexte pratique en mathématiques ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Salut, je suis perdu avec les différentielles et les dérivées. Pouvez-vous m'expliquer comment les utiliser dans un contexte pratique en mathématiques ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment on résout une équation quadratique ?;"{""subject"": ""maths"", ""topic"": ""quadratic-equations""}";"""Comment on résout une équation quadratique ? ->: {""subject"": ""maths"", ""topic"": ""quadratic-equations""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;J'ai du mal avec les nombres complexes, pouvez-vous m'expliquer comment les additionner et les soustraire ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""J'ai du mal avec les nombres complexes, pouvez-vous m'expliquer comment les additionner et les soustraire ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'une dérivée ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Qu'est-ce qu'une dérivée ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer la dérivée d'une fonction exponentielle ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer la dérivée d'une fonction exponentielle ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'une différentielle ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Qu'est-ce qu'une différentielle ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;J'ai besoin d'aide pour comprendre les nombres complexes.;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""J'ai besoin d'aide pour comprendre les nombres complexes. ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Je ne comprends pas les dérivées.;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Je ne comprends pas les dérivées. ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;J'ai besoin d'aide pour les différentielles.;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""J'ai besoin d'aide pour les différentielles. ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre les équations complexes ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Comment résoudre les équations complexes ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Quelles sont les règles de dérivation ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Quelles sont les règles de dérivation ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer la dérivée d'une fonction polynomiale ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer la dérivée d'une fonction polynomiale ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'un nombre complexe ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Qu'est-ce qu'un nombre complexe ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre une équation différentielle ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Comment résoudre une équation différentielle ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Quelles sont les règles de dérivation pour les fonctions exponentielles ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Quelles sont les règles de dérivation pour les fonctions exponentielles ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer l'intégrale d'une fonction ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Comment calculer l'intégrale d'une fonction ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer la dérivée d'une fonction polynomiale ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer la dérivée d'une fonction polynomiale ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'un nombre complexe ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Qu'est-ce qu'un nombre complexe ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre une équation différentielle ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Comment résoudre une équation différentielle ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'une dérivée partielle ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Qu'est-ce qu'une dérivée partielle ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer l'intégrale d'une fonction ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Comment calculer l'intégrale d'une fonction ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre une équation quadratique ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Comment résoudre une équation quadratique ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Je ne comprends pas comment trouver la dérivée d'une fonction.;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Je ne comprends pas comment trouver la dérivée d'une fonction. ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;J'ai besoin d'aide pour calculer les différentielles.;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""J'ai besoin d'aide pour calculer les différentielles. ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment simplifier une expression avec des nombres complexes ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Comment simplifier une expression avec des nombres complexes ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Je suis perdu avec les dérivées partielles, pouvez-vous m'aider ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Je suis perdu avec les dérivées partielles, pouvez-vous m'aider ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer la dérivée d'une fonction trigonométrique ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer la dérivée d'une fonction trigonométrique ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Quels sont les différents types de nombres complexes ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Quels sont les différents types de nombres complexes ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Peux-tu expliquer le concept de différentielle en mathématiques ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Peux-tu expliquer le concept de différentielle en mathématiques ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre une équation différentielle du premier ordre ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Comment résoudre une équation différentielle du premier ordre ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce que la règle de Leibniz pour la dérivation ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Qu'est-ce que la règle de Leibniz pour la dérivation ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Est-ce que tu peux m'aider à comprendre les nombres complexes ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Est-ce que tu peux m'aider à comprendre les nombres complexes ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer une dérivée ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer une dérivée ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Je ne comprends pas les différentielles, peux-tu m'expliquer ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Je ne comprends pas les différentielles, peux-tu m'expliquer ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre une équation avec des nombres complexes ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Comment résoudre une équation avec des nombres complexes ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment trouver la dérivée d'une fonction trigonométrique ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment trouver la dérivée d'une fonction trigonométrique ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer la dérivée de la fonction f(x) = e^x + x^2 - 2x ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer la dérivée de la fonction f(x) = e^x + x^2 - 2x ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'un nombre complexe ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Qu'est-ce qu'un nombre complexe ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre une équation différentielle du premier ordre ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Comment résoudre une équation différentielle du premier ordre ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'une dérivée partielle ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Qu'est-ce qu'une dérivée partielle ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer l'intégrale de la fonction f(x) = 3x^2 - 2x + 1 ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer l'intégrale de la fonction f(x) = 3x^2 - 2x + 1 ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer une dérivée ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer une dérivée ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'un nombre complexe ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Qu'est-ce qu'un nombre complexe ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer une intégrale ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Comment calculer une intégrale ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
