instruction;input;output;prediction
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'une dérivée partielle ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Qu'est-ce qu'une dérivée partielle ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer une intégrale définie ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Comment calculer une intégrale définie ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'une série mathématique ?;"{""subject"": ""maths"", ""topic"": ""series""}";"""Qu'est-ce qu'une série mathématique ? ->: {""subject"": ""maths"", ""topic"": ""series""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre une équation avec des dérivées partielles ?;"{""subject"": ""maths"", ""topic"": ""partial-derivatives""}";"""Comment résoudre une équation avec des dérivées partielles ? ->: {""subject"": ""maths"", ""topic"": ""partial-derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer une dérivée partielle ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer une dérivée partielle ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Quelles sont les propriétés des nombres complexes ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Quelles sont les propriétés des nombres complexes ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre une équation différentielle du premier ordre ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Comment résoudre une équation différentielle du premier ordre ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Quelles sont les règles de dérivation pour les fonctions exponentielles ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Quelles sont les règles de dérivation pour les fonctions exponentielles ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer la dérivée d'une fonction trigonométrique ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer la dérivée d'une fonction trigonométrique ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Est-ce que tu peux m'expliquer les nombres complexes ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Est-ce que tu peux m'expliquer les nombres complexes ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer les dérivées d'une fonction ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer les dérivées d'une fonction ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Peux-tu me donner des exemples d'utilisation des différentielles en mathématiques ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Peux-tu me donner des exemples d'utilisation des différentielles en mathématiques ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre une équation quadratique ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Comment résoudre une équation quadratique ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Quelles sont les règles pour calculer les dérivées des fonctions trigonométriques ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Quelles sont les règles pour calculer les dérivées des fonctions trigonométriques ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment trouver la dérivée d'une fonction polynomiale ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment trouver la dérivée d'une fonction polynomiale ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Salut, j'ai du mal avec les nombres complexes. Pouvez-vous m'aider à comprendre comment effectuer des opérations avec eux ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Salut, j'ai du mal avec les nombres complexes. Pouvez-vous m'aider à comprendre comment effectuer des opérations avec eux ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Bonjour, j'ai besoin d'aide pour comprendre les dérivées. Est-ce que vous pouvez m'expliquer comment les calculer et à quoi elles servent ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Bonjour, j'ai besoin d'aide pour comprendre les dérivées. Est-ce que vous pouvez m'expliquer comment les calculer et à quoi elles servent ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Salut, je ne comprends pas bien les différentielles. Pouvez-vous m'expliquer ce que c'est et comment les utiliser en mathématiques ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Salut, je ne comprends pas bien les différentielles. Pouvez-vous m'expliquer ce que c'est et comment les utiliser en mathématiques ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Bonjour, j'ai du mal avec les nombres complexes et les dérivées. Pouvez-vous m'aider à comprendre comment les utiliser ensemble dans un problème mathématique ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Bonjour, j'ai du mal avec les nombres complexes et les dérivées. Pouvez-vous m'aider à comprendre comment les utiliser ensemble dans un problème mathématique ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Salut, je suis perdu avec les différentielles et les dérivées. Pouvez-vous m'expliquer comment les utiliser dans un contexte pratique en mathématiques ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Salut, je suis perdu avec les différentielles et les dérivées. Pouvez-vous m'expliquer comment les utiliser dans un contexte pratique en mathématiques ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment on résout une équation quadratique ?;"{""subject"": ""maths"", ""topic"": ""quadratic-equations""}";"""Comment on résout une équation quadratique ? ->: {""subject"": ""maths"", ""topic"": ""quadratic-equations""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;J'ai du mal avec les nombres complexes, pouvez-vous m'expliquer comment les additionner et les soustraire ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""J'ai du mal avec les nombres complexes, pouvez-vous m'expliquer comment les additionner et les soustraire ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'une dérivée ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Qu'est-ce qu'une dérivée ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'une différentielle ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Qu'est-ce qu'une différentielle ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;J'ai besoin d'aide pour comprendre les nombres complexes.;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""J'ai besoin d'aide pour comprendre les nombres complexes. ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Je ne comprends pas les dérivées.;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Je ne comprends pas les dérivées. ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;J'ai besoin d'aide pour les différentielles.;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""J'ai besoin d'aide pour les différentielles. ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre les équations complexes ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Comment résoudre les équations complexes ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Quelles sont les règles de dérivation ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Quelles sont les règles de dérivation ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer l'intégrale d'une fonction ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Comment calculer l'intégrale d'une fonction ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Je ne comprends pas comment trouver la dérivée d'une fonction.;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Je ne comprends pas comment trouver la dérivée d'une fonction. ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;J'ai besoin d'aide pour calculer les différentielles.;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""J'ai besoin d'aide pour calculer les différentielles. ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment simplifier une expression avec des nombres complexes ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Comment simplifier une expression avec des nombres complexes ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Je suis perdu avec les dérivées partielles, pouvez-vous m'aider ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Je suis perdu avec les dérivées partielles, pouvez-vous m'aider ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Quels sont les différents types de nombres complexes ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Quels sont les différents types de nombres complexes ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Peux-tu expliquer le concept de différentielle en mathématiques ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Peux-tu expliquer le concept de différentielle en mathématiques ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce que la règle de Leibniz pour la dérivation ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Qu'est-ce que la règle de Leibniz pour la dérivation ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Est-ce que tu peux m'aider à comprendre les nombres complexes ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Est-ce que tu peux m'aider à comprendre les nombres complexes ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer une dérivée ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer une dérivée ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Je ne comprends pas les différentielles, peux-tu m'expliquer ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Je ne comprends pas les différentielles, peux-tu m'expliquer ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre une équation avec des nombres complexes ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Comment résoudre une équation avec des nombres complexes ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment trouver la dérivée d'une fonction trigonométrique ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment trouver la dérivée d'une fonction trigonométrique ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer la dérivée de la fonction f(x) = e^x + x^2 - 2x ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer la dérivée de la fonction f(x) = e^x + x^2 - 2x ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer l'intégrale de la fonction f(x) = 3x^2 - 2x + 1 ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer l'intégrale de la fonction f(x) = 3x^2 - 2x + 1 ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer une intégrale ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Comment calculer une intégrale ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'une fonction dérivable ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Qu'est-ce qu'une fonction dérivable ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer la dérivée de la fonction f(x) = e^x ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer la dérivée de la fonction f(x) = e^x ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment simplifier une expression avec des dérivées partielles ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment simplifier une expression avec des dérivées partielles ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'une intégrale ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Qu'est-ce qu'une intégrale ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'une matrice inversible ?;"{""subject"": ""maths"", ""topic"": ""system-resolution""}";"""Qu'est-ce qu'une matrice inversible ? ->: {""subject"": ""maths"", ""topic"": ""system-resolution""}"""
Tu es un analyseur de données charge d'aider les étudiants à trouver des ressources répond au mieux en format JSON.;Sur les nb complexes, pour calculer l’argument d’un nb réel et imaginaire pur, après avoir mis l’angle, on met [pi] ou [2pi]? Ex:  arg(2i)=pi/2 [pi] ou [2pi] ? Il me semble plus logique que se soit [2pi] mais je ne sais pas pourquoi,;"{""topic"": complex-numbers, ""subject"": maths}";"""Sur les nb complexes, pour calculer l’argument d’un nb réel et imaginaire pur, après avoir mis l’angle, on met [pi] ou [2pi]? Ex:  arg(2i)=pi/2 [pi] ou [2pi] ? Il me semble plus logique que se soit [2pi] mais je ne sais pas pourquoi, ->: {""topic"": complex-numbers, ""subject"": maths}"""
Tu es un analyseur de données charge d'aider les étudiants à trouver des ressources répond au mieux en format JSON.;Comment une fonction peut être injective et surjective en même temps sachant qu'une fonction injective associe (en très gros c'est ce que j'ai compris) un y à un x au max et qu'une surjective peut associer plusieurs y à un x ? Toute injective est surjective ?;"{""topic"": functions, ""subject"": maths}";"""Comment une fonction peut être injective et surjective en même temps sachant qu'une fonction injective associe (en très gros c'est ce que j'ai compris) un y à un x au max et qu'une surjective peut associer plusieurs y à un x ? Toute injective est surjective ? ->: {""topic"": functions, ""subject"": maths}"""
Tu es un analyseur de données charge d'aider les étudiants à trouver des ressources répond au mieux en format JSON.;Comment on résout un système ?;"{""topic"": system-resolution, ""subject"": maths}";"""Comment on résout un système ? ->: {""topic"": system-resolution, ""subject"": maths}"""
Tu es un analyseur de données charge d'aider les étudiants à trouver des ressources répond au mieux en format JSON.;Salut, je bloque sur une question en maths. Est-ce que quelqu’un pourrait m’aider svp. J’ai posé u(x)=(3x-7)^4 et v(x)=racine de 4x-3. Et après j’ai dérivé avec la formule uv=u’v+uv’ mais j’aboutis a quelque de bizarre.;"{""topic"": derivatives, ""subject"": maths}";"""Salut, je bloque sur une question en maths. Est-ce que quelqu’un pourrait m’aider svp. J’ai posé u(x)=(3x-7)^4 et v(x)=racine de 4x-3. Et après j’ai dérivé avec la formule uv=u’v+uv’ mais j’aboutis a quelque de bizarre. ->: {""topic"": derivatives, ""subject"": maths}"""
Tu es un analyseur de données charge d'aider les étudiants à trouver des ressources répond au mieux en format JSON.;On est d'accord que (ln(kx))' avec k une constante ça donne k/x ?;"{""topic"": derivatives, ""subject"": maths}";"""On est d'accord que (ln(kx))' avec k une constante ça donne k/x ? ->: {""topic"": derivatives, ""subject"": maths}"""
Tu es un analyseur de données charge d'aider les étudiants à trouver des ressources répond au mieux en format JSON.;"La négation de = c'est ""différent"" ?";"{""topic"": logic, ""subject"": maths}";"""La négation de = c'est ""différent"" ? ->: {""topic"": logic, ""subject"": maths}"""
Tu es un analyseur de données charge d'aider les étudiants à trouver des ressources répond au mieux en format JSON.;Si une fonction est continue elle est forcément surjective ?;"{""topic"": functions, ""subject"": maths}";"""Si une fonction est continue elle est forcément surjective ? ->: {""topic"": functions, ""subject"": maths}"""
Tu es un analyseur de données charge d'aider les étudiants à trouver des ressources répond au mieux en format JSON.;Du coup pour trouver un produit téléscopique, on doit définir une suite?;"{""topic"": series, ""subject"": maths}";"""Du coup pour trouver un produit téléscopique, on doit définir une suite? ->: {""topic"": series, ""subject"": maths}"""
Tu es un analyseur de données charge d'aider les étudiants à trouver des ressources répond au mieux en format JSON.;tu connais la formule de pascal?;"{""topic"": analysis, ""subject"": maths}";"""tu connais la formule de pascal? ->: {""topic"": analysis, ""subject"": maths}"""
Tu es un analyseur de données charge d'aider les étudiants à trouver des ressources répond au mieux en format JSON.;Est ce possible que la derivée soit negative et que la fonction soit croissante?;"{""topic"": functions, ""subject"": maths}";"""Est ce possible que la derivée soit negative et que la fonction soit croissante? ->: {""topic"": functions, ""subject"": maths}"""
Tu es un analyseur de données charge d'aider les étudiants à trouver des ressources répond au mieux en format JSON.;Pendant que l'on y est, c'est quoi le domaine de dérivabilité de arcsin(x) et de arctan(x) ?;"{""topic"": functions, ""subject"": maths}";"""Pendant que l'on y est, c'est quoi le domaine de dérivabilité de arcsin(x) et de arctan(x) ? ->: {""topic"": functions, ""subject"": maths}"""
Tu es un analyseur de données charge d'aider les étudiants à trouver des ressources répond au mieux en format JSON.;Pourquoi arcsin(cos(x)) est dérivable sur ]0,pi[ alors que arccos(cos(x)) sur ]-1,0[U]0,1[ ?;"{""topic"": functions, ""subject"": maths}";"""Pourquoi arcsin(cos(x)) est dérivable sur ]0,pi[ alors que arccos(cos(x)) sur ]-1,0[U]0,1[ ? ->: {""topic"": functions, ""subject"": maths}"""
Tu es un analyseur de données charge d'aider les étudiants à trouver des ressources répond au mieux en format JSON.;J'ai besoin d'aide pour resoudre ce systeme d'equation;"{""topic"": system-resolution, ""subject"": maths}";"""J'ai besoin d'aide pour resoudre ce systeme d'equation ->: {""topic"": system-resolution, ""subject"": maths}"""
Tu es un analyseur de données charge d'aider les étudiants à trouver des ressources répond au mieux en format JSON.;Y a pas qq'un qui peut m'aider a comprendre les noyau c'est trop complique ce truc.;"{""topic"": algebra, ""subject"": maths}";"""Y a pas qq'un qui peut m'aider a comprendre les noyau c'est trop complique ce truc. ->: {""topic"": algebra, ""subject"": maths}"""
Tu es un analyseur de données charge d'aider les étudiants à trouver des ressources répond au mieux en format JSON.;Qui peut m'expliquer comment on diagonaliser une matrice ?;"{""topic"": matrices, ""subject"": maths}";"""Qui peut m'expliquer comment on diagonaliser une matrice ? ->: {""topic"": matrices, ""subject"": maths}"""
Tu es un analyseur de données charge d'aider les étudiants à trouver des ressources répond au mieux en format JSON.;Je comprends rien a l'integration par partie!;"{""topic"": integrals, ""subject"": maths}";"""Je comprends rien a l'integration par partie! ->: {""topic"": integrals, ""subject"": maths}"""
Tu es un analyseur de données charge d'aider les étudiants à trouver des ressources répond au mieux en format JSON.;C'est quoi le theoreme de Gauss ?;"{""topic"": algebra, ""subject"": maths}";"""C'est quoi le theoreme de Gauss ? ->: {""topic"": algebra, ""subject"": maths}"""
Tu es un analyseur de données charge d'aider les étudiants à trouver des ressources répond au mieux en format JSON.;C'est quoi la demo pour dire qu'une matrice n'est pas inversible ?;"{""topic"": system-resolution, ""subject"": maths}";"""C'est quoi la demo pour dire qu'une matrice n'est pas inversible ? ->: {""topic"": system-resolution, ""subject"": maths}"""
Tu es un analyseur de données charge d'aider les étudiants à trouver des ressources répond au mieux en format JSON.;Tu peux m'aider pour les revision de Ma211 ?;"{""topic"": operations, ""subject"": maths}";"""Tu peux m'aider pour les revision de Ma211 ? ->: {""topic"": operations, ""subject"": maths}"""
Tu es un analyseur de données charge d'aider les étudiants à trouver des ressources répond au mieux en format JSON.;Est-ce qye quelqu'un a un cours d'optimisation differentiable ?;"{""topic"": optimization, ""subject"": maths}";"""Est-ce qye quelqu'un a un cours d'optimisation differentiable ? ->: {""topic"": optimization, ""subject"": maths}"""
Tu es un analyseur de données charge d'aider les étudiants à trouver des ressources répond au mieux en format JSON.;Je comprends r aux vecteurs propres et aux valeurs propres.;"{""topic"": matrices, ""subject"": maths}";"""Je comprends r aux vecteurs propres et aux valeurs propres. ->: {""topic"": matrices, ""subject"": maths}"""
Tu es un analyseur de données charge d'aider les étudiants à trouver des ressources répond au mieux en format JSON.;Je comprends pas pk il y a un - ici alors que dans la correction c'est un +. C'est moi je me suis trompé en dérivant ou c'est une erreur dans la correction ?;"{""topic"": derivatives, ""subject"": maths}";"""Je comprends pas pk il y a un - ici alors que dans la correction c'est un +. C'est moi je me suis trompé en dérivant ou c'est une erreur dans la correction ? ->: {""topic"": derivatives, ""subject"": maths}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce que les nombres complexes en mathématiques ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Qu'est-ce que les nombres complexes en mathématiques ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
